trans_id,lang,translation
דרך לוי אשכול/הרוגי מלכות בבל,EN,Levi Eshkol Road/Haruge Malkhut Bavel
דרך לוי אשכול/התמר,EN,Levy Eshkoln Road/HaTamar
דרך לוי אשכול/יהודה הלוי,EN,Levi Eshkol Road/Yehuda Halevi
דרך לוי אשכול/יצחק רבין,EN,Levi Eshkol Road/Yitshak Rabin
דרך לוי אשכול/ירושלים,EN,Levi Eshkol Road/Yerushalayim
דרך לוי אשכול/לוס אנגלס,EN,Levi Eshkol Road/Los Angeles
דרך לוי אשכול/לוס אנג'לס,EN,Levi Eshkol Road/Los Angeles
דרך לוי אשכול/מיכאל וולך,EN,Levy Eshkol/Michael Wolf
דרך לוי אשכול/צה"ל,EN,Levi Eshkol Road/Tsahal
דרך לוי אשכול/שטרן,EN,Levy Eshkol Road/Stern
דרך למרחב/הבוטנים,EN,Derekh Lamerhav/HaBotnim
דרך למרחב/הגאון,EN,Derekh Lamerhav/HaGa'on
דרך למרחב/הדרים,EN,LaMerhav Road/Hadarim
דרך למרחב/המעלה,EN,Derech LaMerhav/HaMaaleh
דרך למרחב/חבקוק,EN,Derekh Lamerhav/Havakuk
דרך למרחב/חשמונאים,EN,Derekh Lamerhav/Hashmona'im
דרך למרחב/עציון,EN,Derech Lamerhav/Etsion
דרך למרחב/שבי ציון,EN,Derekh Lamerhav/Shave Tsiyon
דרך למרחב/שדרות הציונות,EN,Derech LaMerchav/Hatsionut BLVD
דרך למרחב/תחייה,EN,Derekh Lamerhav/Tehiya
דרך למרחב/תל צבי,EN,Derekh Lamerhav/Tel Tsvi
דרך לסקוב/מבוא הימאים,EN,Laskov Road/Mevo HaYama'im
דרך לסקוב/מבוא הספנים,EN,Laskov Road/Mevo HaSapanim
דרך מאיר וייסגל/פנחס ספיר,EN,Meyer Weisgal Road/Pinhas Sapir
דרך מגדיאל/אשכול,EN,Magdi'el Road/Eskhol
דרך מגדיאל/הפרסה,EN,Magdi'el Road/HaParsa
דרך מדבר יהודה/הגיתית,EN,Midbar Yehuda Road/HaGitit
דרך מדבר יהודה/החליל,EN,Midbar Yehuda Road/HaHalil
דרך מדבר יהודה/השופר,EN,Midbar Yehuda Road/HaShofar
דרך מונפורט/אלחדיקה,EN,Montfort Road/Alhadika
דרך מונפורט/באב אלסיאקל,EN,Montfort Road/Bab Alsiakel
דרך מונפורט/דרב אל עמרה,EN,Montfort Road/Darb alAmra
דרך מונפורט/טריק אלסידה,EN,Montfort Road/Tarik El Sida
דרך מונפורט/מרכז מסחרי,EN,Montfort Road/Commercial Center
דרך מייסדים/האתרוג,EN,Meyasdim Road/HaEtrog
דרך מיתר/שדרות עומרים,EN,Metar Road/Omarim Boulevard
דרך מנהרת העיר/דרך לוד הירוקה,EN,Minheret HaIr Road/Lod HaYeruka Road
דרך מנהרת הר הצופים/מרטין בובר,EN,Har HaTsofim Tunnel/Martin Buber
דרך מנחם בגין,EN,Menachem Begin Road
דרך מנחם בגין/ המלאכה,EN,Menachem Begin Road/Hamelaha
דרך מנחם בגין/40,EN,Menachem Begin Road/40
דרך מנחם בגין/אלנבי,EN,Menahem Begin Road/Allenby
דרך מנחם בגין/אסתר המלכה,EN,Menachem Begin Road/Esther HaMalka
דרך מנחם בגין/דן,EN,Menachem Begin Road/Dan
דרך מנחם בגין/דרך העלייה,EN,Menahem Begin Road/HaAliya Road
דרך מנחם בגין/דרך הרב שלום איפרגן,EN,Menahem Begin Road/HaRav Shalom Ifargan Road
דרך מנחם בגין/דרך ירושלים,EN,Menahem Begin Road/Jerusalem Road
דרך מנחם בגין/דרך נמיר,EN,Derech Menachem Begin/Derech Namir
דרך מנחם בגין/הגליל,EN,Menachem Begin Road/HaGalil
דרך מנחם בגין/ההגנה,EN,Menachem Begin Road/HaHagana
דרך מנחם בגין/החציר,EN,Menachem Begin Road/HaHatsir
דרך מנחם בגין/החשמונאים,EN,Menahem Begin Road/HaHashmonaim
דרך מנחם בגין/המגינים,EN,Menachem Begin Road/HaMeginim
דרך מנחם בגין/המדע,EN,Menahem Begin Road/HaMada
דרך מנחם בגין/המלאכה,EN,Menahem Begin Road/HaMelacha
דרך מנחם בגין/הפרחים,EN,Menachem Begin Road/HaPrahim
דרך מנחם בגין/הרב בן ציון אבא שאול,EN,Menahem Begin Road/HaRav Ben Tsiyon Abba Shaul
דרך מנחם בגין/הרזה,EN,Menahem Begin Road/Herge
דרך מנחם בגין/הרכבת,EN,Menahem Begin Road/HaRakevet
דרך מנחם בגין/הרצל,EN,Menachem Begin Road/Herzl
דרך מנחם בגין/השומרון,EN,Mehanem Begin Road/HaShomron
דרך מנחם בגין/השופר,EN,Menachem Begin Road/HaShofar
דרך מנחם בגין/התעשייה,EN,Menachem Begin Road/HaTa'asiya
דרך מנחם בגין/ויינברגר,EN,Menachem Begin Road/Weinberger
דרך מנחם בגין/זיסמן שלום,EN,Menahem Begin Road/Zysman Shalom
דרך מנחם בגין/חיים נחמן ביאליק,EN,Menachem Begin Road/Hayim Nahman Bialik
דרך מנחם בגין/חיל התותחנים,EN,Menahem Begin Road/Hel HaTothanim
דרך מנחם בגין/חנה רובינא,EN,Menachem Begin Road/Hannah Rovina
דרך מנחם בגין/יהודה גורודסקי,EN,Menahem Begin Road/Yehuda Gorodesky
דרך מנחם בגין/יהודה לייב יוספזון,EN,Menahem Begin Road/Yehuda Leib Yosefson
דרך מנחם בגין/יעקב חזן,EN,Menachem Begin Road/Ya'akov Hazan
דרך מנחם בגין/כורש,EN,Menachem Begin Road/Koresh
דרך מנחם בגין/לאה אמנו,EN,Menachem Begin Road/Leah Imenu
דרך מנחם בגין/לינקולן,EN,Menachem Begin Road/Lincoln
דרך מנחם בגין/מסוף,EN,Menahem Begin Road - Terminal
דרך מנחם בגין/נחמני,EN,Menachem Begin Road/Nachmani
דרך מנחם בגין/עזרא ונחמיה,EN,Menachem Begin Road/Ezra VeNehemiah
דרך מנחם בגין/קופת חולים,EN,Menachem Begin Road - Kupat Holim
דרך מנחם בגין/רחל אמנו,EN,Begin/Rahel
דרך מנחם בגין/ש"י עגנון,EN,Menachem Begin Road/Shai Agnon
דרך מנחם בגין/שוק,EN,Menachem Begin Road/Shuk
דרך מנחם בגין/שמעון דהאן,EN,Menachem Begin Road/Shimon Dahan
דרך מצדה/אבא אחימאיר,EN,Masada Road/Abba Ahimeir
דרך מצדה/בני אור,EN,Metsada/Bnei Or
דרך מצדה/דרך שמשון,EN,Derech Metsada/Derech Shimshon
דרך מצדה/חז"ל,EN,Metzada Road/Hazal
דרך מצדה/טשרניחובסקי,EN,Masada Road/Tchernichovsky
דרך מצדה/יהודה הלוי,EN,Derech Metsada/Yehuda Halevi
דרך מצדה/יצחק אבינו,EN,Derech Metsada/Yits'hak Avinu
דרך מצדה/מבצע נחשון,EN,Metsada Road/Mivtsa Nahshon
דרך מצדה/רבי טרפון,EN,Derech Metsada/Rabbi Tarfon
דרך מצרים/בית ספר שדה,EN,Mitsrayim Road/Field School
דרך מצרים/חיל הים,EN,Mitsrayim Road/Hal HaYam
דרך מצרים/מלון הנסיכה,EN,Mitsrayim Road/The Princess Hotel
דרך מצרים/מתחם קולוניה ,EN,Mitzraim Road/Colonia Complex
דרך מצרים/נמל שער דרומי,EN,Mitsrayim Road/Port - Southern gate
דרך מצרים/נמל שער צפוני,EN,Mitsrayim Road/Port - Northern gate
דרך מר"ן,EN,Maran Road
דרך מר"ן/המברג,EN,Maran/Hamberg Road
דרך מר"ן/הרב אליישיב,EN,Maran Road/HaRav Elyashiv
דרך משה,EN,Moshe Road
דרך משה דיין/דרך בר לב,EN,Moshe Dayan Road/Bar Lev Road
דרך משה דיין/דרך השלום,EN,Moshe Dayan Road/HaShalom Road
דרך משה דיין/ההגנה,EN,Moshe Dayan Road/HaHagana
דרך משה דיין/הרכבי,EN,Moshe Dayan Road/Harkavi
דרך משה דיין/הרצוג,EN,Moshe Dayan Road/Herzog
דרך משה דיין/יצחק שדה,EN,Moshe Dayan Road/Yitshak Sade
דרך משה דיין/לה גווארדייה,EN,Moshe Dayan Road/La Guardia
דרך משה דיין/משה שטינשנידר,EN,Moshe Dayan Road/Moshe Steinschneider
דרך משה דיין/צבי נשרי,EN,Moshe Dayan Road/Tsvi Nishri
דרך משה דיין/קרייתי,EN,Moshe Dayan Road/Kiryati
דרך משה דיין/שדרות שבעת הכוכבים,EN,Moshe Dayan Road/Shivat HaKokhavim Blvd
דרך משה כחלון/נחל כסיף,EN,Moshe Kachlon Road/Nahal Kasif
דרך משה כחלון/נחל עבדת,EN,Moshe Kachlon Road/Nahal Ovdat
דרך משה כחלון/נחל שרשרת,EN,M.Kachlon/Nahal Sharsheret
דרך משה כחלון/נחל תמנע,EN,Moshe Kachlon Road/Nahal Timna
דרך משה/בית העלמין,EN,Moshe Road/Cemetery
דרך משה/הלוטם,EN,Moshe Road/HaLotem
דרך משה/השלום,EN,Moshe Road/HaShalom
דרך משה/קרן היסוד,EN,Moshe Road/Keren HaYesod
דרך משואה/מבוא הבושם,EN,Massu'a Road/Mevo HaBosem
דרך נגבה/בן אליעזר,EN,Negba Road/Ben Eli'ezer
דרך נגבה/הירדן,EN,Negba Road/HaYarden
דרך נווה דקלים / אולפנא,EN,Neve Dekalim Road/Ulpana
דרך נופי ממרא/3597,EN,Nofe Mamre Road/3597
דרך נחל אלכסנדר/הקטיף,EN,Nahal Alexander Road/HaKatif
דרך נחל אלכסנדר/צבי הנחל,EN,Nahal Alexander Road/Tzvi HaNahal
דרך נחל פרת/דרך החיים,EN,Nahal Prat Road/HaHaim Road
דרך נחל פרת/נחל ערוגות,EN,Nahal Prat Road/Nahal Arugot
דרך נחל פרת/נחל צאלים,EN,Nahal Prat Road/Tze'elim Creek
דרך נחל קדם,EN,Nahal Kedem Road
דרך נחל קדם/דרך נחל פרת,EN,Nahal Kedem Road/Nahal Porat Road
דרך ניל"י/ההגנה,EN,Nili Road/HaHagana
דרך ניר וגל/נורית,EN,Nir VaGal/Nurit
דרך ניר וגל/ערבה,EN,Nir VaGal/Arava
דרך נמיר/אינשטיין,EN,Namir Road/Einstein
דרך נמיר/דרך מנחם בגין,EN,Namir Road/Menachem Begin Road
דרך נמיר/הרב הרצוג,EN,Namir Road/HaRav Herzog
דרך נמיר/ז'בוטינסקי,EN,Namir Road/Jabotinsky
דרך נמיר/יהודה המכבי,EN,Namir Road/Yehuda HaMaccabi
דרך נמיר/פנקס,EN,Namir Road/Pinkas
דרך נמיר/שד' קק"ל,EN,Namir Road/KKL Boulevard
דרך נמיר/שדרות שאול המלך,EN,Namir Road/Shaul HaMelech Boulevard
דרך נמל התעופה/דרך רמללה,EN,Airport Road/Ramallah Road
דרך סור באהר,EN,Sur Baher Road
דרך סטלה מאריס,EN,Stella Maris Road
דרך סטלה מאריס/הבישוף חג'אר,EN,Stella Maris Road/Bishop Hajar
דרך סנדי אזולאי/הרב עוזיאל,EN,Azulay/Uzi'el
דרך עולים/שושנה דמארי,EN,Olim Road/Shoshana Damari
דרך עולים/ששת הימים,EN,Olim Road/Sheshet HaYamim
דרך עירון/המייסדים,EN,Iron Road/HaMeyasdim
דרך עכו חיפה/ירושלים,EN,Akko Haifa Road/Yerushalayim
דרך עכו חיפה/ציפורן,EN,Akko Haifa Road/Tsiporen
דרך עכו חיפה/רפא"ל,EN,Akko Haifa Road/Rafael
דרך עכו/אוסישקין,EN,Akko Road/Ussishkin
דרך עכו/הגפן,EN,Akko Road/HaGefen
דרך עכו/המייסדים,EN,Akko Road/HaMeyasdim
דרך עכו/כביש 79,EN,Akko Road/Road 79
דרך עכו/צומת ביאליק,EN,Akko Road/Bialik Junction
דרך עכו/צומת עין אפק,EN,Akko Road/En Afek Junction
דרך עכו/צומת צבר,EN,Akko Road/Tsabar Junction
דרך עכו/צור שלום,EN,Akko Road/Tsur Shalom
דרך עכו/שדרות חן,EN,Akko Road/Hen Boulevard
דרך עכו/שמעון,EN,Akko Road/Shim'on
דרך ענתות,EN,Anatot Road
דרך עפרון/המלאכה,EN,Efron Road/Hamelaha
דרך עפרון/השומרון,EN,Efron Road/HaShomron
דרך עפרון/משעול ב,EN,Derech Efron/Mishol B'
דרך עפרון/נחשונים,EN,Derech Efron/Nahshonim
דרך עראבייה,EN,Arabiya Road
דרך פינלס/בן גוריון,EN,Pineles Road/Ben Gurion
דרך פיק"א/יהודה הלוי,EN,Pica Road/Yehuda HaLevy
דרך פיק"א/שלומציון המלכה,EN,Pica Road/Shlomtsiyon HaMalka
דרך פל ים/הרקיע,EN,Pal Yam Road/HaRaki'a
דרך פרת/דרך החיים,EN,Prat Road/HaHaim Road
דרך פרת/המייסדים,EN,Prat Road/HaMeyasdim
דרך פרת/שתחלי הזית,EN,Prat Road/Shtule HaZayit
דרך צה"ל/קרן היסוד,EN,Tzahal Road./Keren HaYesod
דרך צמח השדה/דרך הר הבית,EN,Tsemah HaSade Road/Har HaBayit Road
דרך צמח השדה/האשל,EN,Zemach HaSade'h Road/Ha'Eshel
דרך צמח השדה/הסוף,EN,Zemach HaSade'h Road/HaSuf
דרך צמח השדה/העירית,EN,Zemach HaSade'h Road/Ha'Irit
דרך צמח השדה/הצוף,EN,Zemach HaSade'h Road/HaTsuf
דרך צמח השדה/הצפצפה,EN,Zemach HaSade'h Road/HaTsaftsefa
דרך צמח השדה/הרותם,EN,Zemach HaSade'h Road/HaRotem
דרך צמח השדה/השיקמה,EN,Zemach HaSade'h Road/HaShikma
דרך צרפת/גורס,EN,Tsarfat Road/Gores
דרך צרפת/דרייפוס,EN,Tsarfat Road/Dreyfus
דרך צרפת/יצחק נדב,EN,Tsarfat Road/Yitshak Nadav
דרך צרפת/יציאת אירופה,EN,Tsarfat Road/Yetziat Europa
דרך צרפת/כרמיה,EN,Tsarfat Road/Karmiya
דרך צרפת/מרסיי,EN,Tsarfat Road/Marseille
דרך קדומים/חטיבת הנח"ל,EN,Kdumim Road/Hativat HaNahal
דרך קדומים/חטיבת יפתח,EN,Kdumim Road/Hativat Yiftah
דרך קדם/אבני החושן,EN,Kedem Road/Avne HaHoshen
דרך קדם/הניקרה,EN,Kedem Road/HaNikrah
דרך קדם/הר מיכוור,EN,Kedem Road/Mt. Michvar
דרך קדם/הרכס,EN,Kedem Road/HaRekhes
דרך קדם/נופי הסלע,EN,Kedem Road/Nofe HaSela
דרך קיבוץ גלויות/אבולעפיה,EN,Kibbutz Galuyot Road/Abulafya
דרך קיבוץ גלויות/חיל השריון,EN,Kibbutz Galuyot Road/Hel HaShiryon
דרך קיבוץ גלויות/חכמי לובלין,EN,Kibbutz Galuyot Road/Hakhme Lublin
דרך קיבוץ גלויות/כביש 1,EN,Kibbutz Galuyot Road/Road 1
דרך קיבוץ גלויות/לבון,EN,Kibbutz Galuyot/Lavon
דרך קיבוץ גלויות/מסילת ישרים,EN,Kibuts Galuyot Road/Mesilat Yesharim
דרך קיבוץ גלויות/שד הר ציון,EN,Kibbutz Galuyot Road/Har Zion Boulevard
דרך קיבוץ גלויות/שד' הר ציון,EN,Kibbutz Galuyot Road/Har Zion Boulevard
דרך קיבוץ גלויות/שד' ישראל גורי,EN,Kibbutz Galuyot Road/Israel Guri
דרך קיבוץ גלויות/שדרות ישראל גורי,EN,Kibuts Galuyot Road/Israel Guri Blvd
דרך קנדה/אדמונית,EN,Canada Road/Admonit
דרך קנדה/היורה,EN,Canada Road/Hayore
דרך קנדה/יהודה עמיחי,EN,Canada Road/Yehuda Amichai
דרך קרית ספר 1,EN,Derech Kiriyat Sefer 1
דרך קרית עמל/אליהו התשבי,EN,Kiryat Amal Road/Eliyahu HaTishbi
דרך קרית עמל/עמלים,EN,Kiryat Amal Road/Amalim
דרך רב אלוף יעקב דורי/גילדסגיים,EN,Rav Aluf Yaacov Dori Road/Gildesgame
דרך רב אלוף יעקב דורי/פנימי בסיס תל,EN,Rav Aluf Yaacov Dori Road/Internal Tel HaShomer Ba
דרך רב אלוף יעקוב דורי/דרך לוי אשכול,EN,Rav Aluf Yaacov Dori Road/Levi Eshkol Road
דרך רבין/המזמרה,EN,Rabin Road/HaMazmera
דרך רבין/המייסדים,EN,Rabin Road/HaMeyasdim
דרך רגבים/654,EN,Regavim Road/654
דרך רגבים/הדקל,EN,Regavim Road/HaDekel
דרך רון ארד/עוזי חיטמן,EN,Ron Arad Road/Uzi Hitman
דרך רון נחמן/גילה,EN,Derech Ron Nahman/Gilo
דרך רזיאל/היהלום,EN,Razi'el Road/HaYahalom
דרך רזיאל/הרב ריינס,EN,Razi'el Road/HaRav Reines
דרך רזיאל/הרצל,EN,Razi'el Road/Herzl
דרך רזיאל/י.מ.פינס,EN,Raziel Road/Y.M. Pines
דרך רזיאל/מלחמת ששת הימים,EN,Razi'el Road/Milhemet Sheshet HaYamim
דרך רמאללה/ביסאן,EN,Ramallah Road/Baysan
דרך רמאללה/מרג' אבן עאמר,EN,Ramallah Road/Marj Ibn Amer
דרך רמתיים/אפק,EN,Ramatayim Road/Afek
דרך רמתיים/המעבר,EN,Ramatayim Road/HaMa'avar
דרך רמתיים/העמק,EN,Ramatayim Road/Ha'Emek
דרך רמתיים/משה שרת,EN,Ramatayim Road/Moshe Sharett
דרך רפאל איתן/דרך לוי אשכול,EN,Refa'el Eitan Road/Levi Eshkol Road
דרך רפאל איתן/הדובדבן,EN,Rafael Eitan Road/HaDuvdevan
דרך רפאל איתן/יצחק רבין,EN,Rafael Eitan Road/Yits'hak Rabin
דרך שועפאט/א שאבי,EN,Shuafat Road/A Shabi
דרך שועפאט/אל אסמאעי,EN,Shuafat Road/Al Asma'i
דרך שועפאט/דרך ענתות,EN,Shuafat Road/Anatot Road
דרך שועפאת/מעאדי בן גביל,EN,Derech Shoefat/Ma'adi Ben Jebel
דרך שיבא/אלוף שדה,EN,Sheba Road/Aluf Sade
דרך שיבא/כפר אז"ר,EN,Derech Sheba/Kfar Azar
דרך שיבא/שדרות הארזים,EN,Sheba Road/HaArazim Blvd
דרך שילה/הרואה,EN,Shilo Road/HaRo'e
דרך שכם/טובלר,EN,Derekh Schem/Tobler
דרך שכם/לואי ונסן,EN,Derekh Schem/Louis Vincent
דרך שכם/קלרמון גנו,EN,Shchem Road/Clermont Ganneau
דרך שכם/שמעון הצדיק,EN,Derekh Schem/Shim'on HaTsadik
דרך שלמה שמלצר/גרניט,EN,Shlomo Shmeltzer Road/Granite
דרך שלמה שמלצר/דרך זבולון המר,EN,Shlomo Shmeltzer Road/Zevulun Hamer Road
דרך שלמה שמלצר/החרוצים,EN,Shlomo Shmeltzer/HaHarutsim
דרך שלמה שמלצר/השפלה,EN,Shlomo Shmeltzer Road/HaShfela
דרך שלמה שמלצר/מרטין גהל,EN,Shlomo Shmeltzer Road/Martin Gehl
דרך שלמה/אבולעפיה,EN,Shlomo Road/Abulafya
דרך שלמה/אליפלט,EN,Shlomo Road/Elifelet
דרך שלמה/בן עטר,EN,Shlomo Road/Ben Atar
דרך שלמה/דרך קיבוץ גלויות,EN,Shlomo Road/Kibbutz Galuyot Road
דרך שלמה/מסילת ישרים,EN,Salame Road/Mesilat Yesharim
דרך שלמה/שד' הר ציון,EN,Shlomo Road/Har Tsiyon Blvd
דרך שלמה/שוקן,EN,Derech Shalma/Schocken
דרך שלמה/שלבים,EN,Shlomo Road/Shlabim
דרך שמונה עליות/ארץ חמדה,EN,Shmone Aliyot Road/Eretz Hemda
דרך שמונה עליות/בשן,EN,Shmone Aliyot Road/Bashan
דרך שמונה עליות/גלעד,EN,Shmone Aliyot Road/Gilad
דרך שמשון,EN,Shimshon Road
דרך שמשון/אברהם מחרז,EN,Shimshon Road/Avraham Mahrez
דרך שמשון/מבצע יואב,EN,Shimshon Road/Mivtsa Yo'av
דרך שמשון/מעלה מוריה,EN,Derech Shimshon/Maale Moriah
דרך שרה/אליהו גולומב,EN,Sara Road/Eliyahu Golomb
דרך שרה/דרך הרב משקובסקי,EN,Sara Road/HaRav Mashkovski Road
דרך שרה/העליה,EN,Sara Road/Ha'Aliya
דרך שרה/כ"ט בנובמבר,EN,Sarah Road/November 29
דרך שרה/סטרומה,EN,Sara Road/Struma
דרך שרה/קדמה,EN,Sara Road/Kedma
דרך ששת הימים/זלקינד סטולבוב,EN,Derech Sheshet HaYamim/Zelkind Stolbov
דרך ששת הימים/חזון אי"ש,EN,Derech Sheshet HaYamim/Hazon Ish
דרך ששת הימים/שלום פרץ,EN,Sheshet HaYamim Road/Shalom Peretz
דרך תא"ל אורי בראון/האצ"ל,EN,Ta'al Uri Bar-On Road/Ha'Etzel
דרך תא"ל אורי בראון/ההגנה,EN,General Uri Baron/HaHagana
דרך תא"ל אורי בראון/הפסגה,EN,General Uri Baron/HaPisga
דרך תא"ל אורי בראון/מעלה הגבעה,EN,General Uri Baron Road/Ma'ale HaGiv'a
דרך תאל אורי בראון/האצל,EN,Tal Uri Bar-On/HaEtzel
דרך תאל אורי בראון/ההגנה,EN,Ta'al Uri Bar-On Road/HaHagana
דרך תל אביב/מונטיפיורי,EN,Tel Aviv Road/Montefiore
דרך תל אביב/פישמן,EN,Tel Aviv Road/Fishman
דרך תל חי/דרך הנוריות,EN,Tel Hai Road/HaNuriyot Road
דרך תל חי/דרך הנרקיסים,EN,Tel Hai Road/HaNarkisim Road
דרך תל חי/צרכנייה,EN,Tel Hai Road/Grocery store
דרך תל מור/דרך לסקוב,EN,Tel Mor Road/Laskov Road
דרכי איש/החוזה מלובלין,EN,Darke Ish/HaHoze MiLublin
דרכי איש/הרב בן ציון ברוק,EN,Darke Ish/HaRav Ben Zion Bruk
דרכי איש/הרב ברוק,EN,Darke Ish/HaRav Bruk
דרכי איש/ישמח ישראל,EN,Darke Ish/Ismah Israel
דרכי משה/מזרחי,EN,Darke Moshe/Mizrahi
דרכי משה/מסילת רכבת,EN,Darke Moshe/Messilat Rakevet
דרכי רפאל/הרב גרשונוביץ,EN,Darkhe Refa'el/HaRav Gershonowitz
דרכי רפאל/הרב גרשונוביץ',EN,Darchei Raphael/Rabbi Gershonowitz
דרכי רפאל/קהילת יעקב,EN,Darkhe Refa'el/Kehilat Ya'akov
דשה אהרונסון/אריה זייף,EN,Dasha Aaronsohn/Arye Zaif
דשה אהרונסון/גדעון האוזנר,EN,Dasha Aharonson/Gideon Hausner
דשה אהרונסון/הרב קוק,EN,Dasha Aharonson/HaRav Kook
ה' באייר / מבצע דני,EN,He Be'Iyar/Mivtsa Dani
ה' באייר/בזק,EN,He Be'Iyar/Bezeq
ה' באייר/מבצע חירם,EN,He Be'Iyar/Mivtsa Hiram
האבוקדו/יקותיאל אדם,EN,HaAvukado/Yekutiel Adam
האבוקדו/שפק,EN,HaAvocado/Shafek
האבות 1,EN,HaAvot 1
האבות/ברץ,EN,Ha'Avot/Yosef Baratz
האבות/הנשיא וייצמן,EN,Ha'Avot/HaNassi Weizmann
האבות/נחמיה,EN,Ha'Avot/Nehemya
האביב/השומרון,EN,Ha'Aviv/HaShomron
האביב/זבולון,EN,Ha'Aviv/Zevulun
האביב/שלמה קפלנסקי,EN,Ha'Aviv/Shlomo Kaplansky
האגודה/ז'בוטינסקי,EN,Ha'Aguda/Jabotinsky
האגוז/האתרוג,EN,Ha'Egoz/Ha'Etrog
האגוז/הדגנית,EN,Ha'Egoz/HaDganit
האגוז/שדרות ז'בוטינסקי,EN,Ha'Egoz/Jabotinsky Boulevard
האגם/הברושים,EN,Ha'Agam/HaBroshim
האגם/הפרדסים,EN,Ha'Agam/HaPardessim
האגס/הרימון,EN,Ha'Agas/HaRimon
האגס/התפוח,EN,Ha'Agas/HaTapu'ah
האגס/לימון,EN,Ha'Agam/Limon
האגס/משעול אתרוג,EN,Ha'Agas/Etrog Alley
האדמו"ר מבעלזא,EN,HaAdmor MiBelz
האדמו"ר מבעלזא א,EN,HaAdmor MiBelz Aleph
האדמו"ר מבעלזא/דובר שלום,EN,HaAdmor MiBelz/Dover Shalom
האדמו"ר מבעלזא/הרב פנחס מילר,EN,HaAdmor MiBelz/HaRav Pinchas Miller
האדמו"ר מבעלזא/כניסה,EN,HaAdmor MiBelz/Entrace
האדמו"ר מבעלזא/קדושת אהרון,EN,HaAdmor MiBelz/Kdushat Aharon
האדמו"ר מרוז'ין/בעל התניא,EN,HaAdmor MeRojin/Ba'al HaTanya
האדמו"ר מרוז'ין/רבי עקיבא,EN,HaAdmor MiRuzhin/Rabi Akiva
האדמור מחבד/נתיבות שלום,EN,Ha'Admor MiHabad/Netivot Shalom
האדמור מלובאויטש/דרוק,EN,Ha'Admor MiLubavitch/Druck
האדמור מלובאויטש/חזון איש,EN,HaAdmor MiLubawitch/Hazon Ish
האדמור מלובאויטש/לפיאן,EN,Ha'Admor MiLubavitch/Lapian
האדמור מנדבורנא/חזון אי"ש,EN,HaAdmor MiNadvorna/Hazon Ish
האדמורים ליינער,EN,The Leiner Admorim
האדריכל/הסוללים,EN,HaAdrikhal/HaSolelim
האדריכל/השרברב,EN,HaAdrikhal/HaShravrav
האדרת והאמונה/החיל,EN,Ha'Aderet VeHa'Emuna/HaHayil
האו,EN,Ha'O
האודם/לשם,EN,Ha'Odem/Leshem
האודם/ספיר,EN,Ha'Odem/Sapir
האומן/"מרכז בנית",EN,Ha'Oman/Merkaz Binat
האומן/ברעם,EN,Ha'Oman/Bar'am
האומן/הזגג,EN,Ha'Oman/HaZagag
האומן/הנפח,EN,Ha'oman/HaNapach
האומן/הסדנא,EN,Ha'Oman/HaSadna
האומן/חוצות היוצר,EN,Ha'Oman/Hutsot HaYotser
האומן/חרשי הברזל,EN,Ha'Oman/Harashe HaBarzel
האומן/כיכר,EN,HaOman/Square
האומן/שדרות חיים ברלב,EN,HaOman/Haim Barlev Blvd
האומנות/יד חרוצים,EN,Ha'Omanut/Yad Harutsim
האומנות/שדרות גיבורי ישראל,EN,HaOmanut/Gibore Israel Blvd
האון,EN,Ha'On
האוניברסיטה המורמונית/דרך א טור,EN,Mormon University/A Tur Road
האוניברסיטה העברית הר הצופים,EN,Hebrew University Mount Scopus
האוניברסיטה העברית הר הצופים/מרטין בובר,EN,Hebrew University Mount Scopus/Martin Buber
האוניברסיטה העברית/בנימין מזר,EN,The Hebrew University/Binyamin Mazar
האוניברסיטה העברית/שד' צ'רצ'יל,EN,The Hebrew University/Churchill Blvd
האוניברסיטה הפתוחה/דרך א טור,EN,The Open University/A Tur Road
האוניברסיטה הפתוחה/רבוצקי,EN,Open University/Ravutzky
האוניברסיטה הר הצופים,EN,Hebrew University – Mt. Scopus
האוניברסיטה/דרך דגניה,EN,University/Dganya Road
האוניברסיטה/חיים לבנון,EN,University/Haim Levanon
האופה/שדרות המלאכות,EN,Ha'Ofe/HaMelakhot Blvd
האופה/שדרות המקצועות,EN,Ha'Ofe/HaMiktso'ot Blvd
האופן/החרש,EN,Ha'Ofan/Haheresh
האופק/אגמית,EN,HaOfek/Agamit
האופק/בורנשטיין,EN,HaOfek/Bornstein
האופק/הרכסים,EN,HaOfek/HaRekhasim
האופרה/שד' שאול המלך,EN,Ha'Opera/Sha'ul HaMelekh Blvd
האורג/המתכנן,EN,HaOreg/HaMetakhnen
האורג/הפלדה,EN,Ha'Oreg/HaPlada
האורגים/בעלי מלאכה,EN,Ha'Orgim/Ba'ale Mel'akha
האורגים/האומן,EN,HaOrgim/HaUman
האורגים/הבנאי,EN,Ha'Orgim/HaBanai
האורגים/הבנאים,EN,Ha'Orgim/HaBana'im
האורגים/המלאכה,EN,Ha'Orgim/Hamelaha
האורגים/המנור,EN,Ha'Orgim/HaManor
האורגים/המרכבה,EN,Ha'Orgim/HaMerkava
האורגים/הסתת,EN,Ha'Orgim/HaSatat
האורגים/התקשורת,EN,Ha'Orgim/HaTikshoret
האורגים/חטיבת גבעתי,EN,HaOrgim/Hativat Giv'ati
