מקט,קו,מפעילה,מסלול,נסיעות ביום,מהן נגישות,אחוז נגיש
17069,69,קווים,יד לבנים/דרך הבנים-פרדס חנה כרכור<->ביה''ס אשאטי-ג'סר א זרקא,43,0,0%
12427,427,דרך אגד עוטף ירושלים,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->רכבת קריית אריה/חנ,62,0,0%
24044,44,קווים,מסוף ג'ת-ג'ת<->מסוף אום אל פחם-אום אל פחם-21,47,0,0%
13371,371,מטרופולין,צומת פלוגות למזרח-קרית גת<->ת.מרכזית באר שבע/הורדה-באר שבע-1,68,0,0%
10345,345,מטרופולין,שדרות בן גוריון/יגאל הורביץ-קרית מלאכי<->ת. רכבת תל אביב - ס,46,0,0%
12150,150,קווים,ת. מרכזית רמלה-רמלה<->בריכה/עמק דותן-מודיעין מכבים רעות-23,113,0,0%
10880,880,אגד,ת. מרכזית טבריה/רציפים-טבריה<->ת.מרכזית באר שבע/הורדה-באר שב,1,0,0%
10359,359,מטרופולין,ההגנה/הפלמ''ח-ירוחם<->דרכי רפאל/קהילת יעקב-נתיבות-21,44,0,0%
13158,158,קווים,קניון אסף/44-ראשון לציון<->מסוף הרכבת הישן/הורדה-לוד-20,5,0,0%
10378,378,מטרופולין,ת. רכבת אופקים רציפים/בינעירוני-אופקים<->ת. רכבת תל אביב - ס,36,0,0%
10555,555,אגד,מעון/תפוח-ערד<->ת. מרכזית ירושלים/הורדה-ירושלים-1א,324,0,0%
13153,153,קווים,הדרים/ תיכון רעות מכבים-מודיעין מכבים רעות<->ת. מרכזית רמלה/,2,0,0%
11202,202,קווים,ת. רכבת קרית אריה-פתח תקווה<->שדרות החשמונאים/לב העיר-מודיעי,27,0,0%
10557,557,אגד,אדוריים/רמות דוד-קרית גת<->קניון איילון-בני ברק-2ד,250,0,0%
14222,222,קווים,מבוא רעות/שד. האורנים-מודיעין מכבים רעות<->מסוף רדינג/הורדה-,12,0,0%
10558,558,אגד,מעון/תפוח-ערד<->קניון איילון-בני ברק-2ה,239,0,0%
10546,546,אגד,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->תיכון בית רחל-קוממיו,12,0,0%
10549,549,אגד,תיכון בית רחל-קוממיות<->קניון איילון-בני ברק-2#,20,0,0%
23047,47,מטרופולין,מואב/לשם-ערד<->מסוף השחר/הרב עובדיה יוסף-דימונה-2#,80,0,0%
19038,38,קווים,אל עריאן/מסגד-אל עריאן<->מסוף אום אל פחם-אום אל פחם-20,28,0,0%
25061,61,קווים,בית חולים הלל יפה-חדרה<->ברטעה-בסמ''ה-20,37,0,0%
19099,99,נתיב אקספרס,ת. מרכזית נהריה/רציפים-נהריה<->אריה לוין /חבד-חיפה-2#,11,0,0%
10337,337,גי.בי.טורס,אוניברסיטה/רב תכליתי-חיפה<->בזק-בועיינה נוג'יידאת-2#,11,0,0%
16059,59,מטרופולין,מחנה נבטים-כסיפה<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,80,0,0%
40012,12,מועצה אזורית גולן,צומת כורסי-גולן<->יקבי רמת הגולן-קצרין-21,33,0,0%
34014,14,מועצה אזורית גולן,מועצה-מסעדה<->קניון לב קצרין-קצרין-20,28,0,0%
10353,353,מטרופולין,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת.מרכזית תל אביב,131,0,0%
33016,16,מועצה אזורית גולן,צומת כורסי-גולן<->קניון לב קצרין-קצרין-20,62,0,0%
24024,24,מועצה אזורית גולן,גשור-גשור<->ת. מרכזית טבריה/הורדה-טבריה-21,48,0,0%
22028,28,מטרופולין,תיכון מיתרים-מיתר<->ת.מרכזית באר שבע/הורדה-באר שבע-21,173,0,0%
11500,500,קווים,מסעף ברקת-חבל מודיעין<->ת. רכבת תל אביב - סבידור/דרך נמיר-תל,90,0,0%
17024,24,גי.בי.טורס,מסגד-בועיינה נוג'יידאת<->שוק נוף הגליל-נוף הגליל-2ח,40,0,0%
13156,156,קווים,קניון אסף/44-ראשון לציון<->ת.מרכזית תל אביב קומה 6/הורדה-תל ,29,0,0%
12285,285,תנופה,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->הארז/החרוב1-עץ ,13,0,0%
14038,38,גי.בי.טורס,סיני/שד. הבנים-מגדל העמק<->המכללה האקדמית כנרת-עמק הירדן-1#,6,0,0%
10312,312,קווים,קרית נוער/הרב פרנק-ירושלים<->משך חוכמה ז-מודיעין עילית-20,5,0,0%
10314,314,קווים,כפר שאול/קצנלבוגן-ירושלים<->משך חוכמה ז-מודיעין עילית-20,5,0,0%
10219,219,קווים,הרב נורוק/ אברבנאל-בני ברק<->משך חוכמה ז-מודיעין עילית-20,5,0,0%
12239,239,קווים,חניון תח''צ/שדרות בית הלל-מודיעין עילית<->הרב נורוק/אברבנאל-,5,0,0%
12249,249,קווים,הרב נורוק/ אברבנאל-בני ברק<->רמב''ן/שדרות בית שמאי-מודיעין ע,5,0,0%
10322,322,קווים,חניון תח''צ/שדרות בית הלל-מודיעין עילית<->בית וגן/הרב אלפיה-,5,0,0%
10324,324,קווים,חניון תח''צ/שדרות בית הלל-מודיעין עילית<->רוזנטל-ירושלים-10,5,0,0%
10958,958,אגד,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. מרכזית כרמיאל,2,0,0%
14049,49,אגד,אצטדיון טרנר-באר שבע<->מעלה ההר/המלאכה-דימונה-1#,33,0,0%
15056,56,אגד,מעלה ההר/המלאכה-דימונה<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,56,0,0%
10486,486,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->נווה זוהר/מועצה אז,80,0,0%
11301,301,אגד,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת.מרכזית תל אביב ,143,0,0%
10968,968,אגד,ת. מרכזית ירושלים/יפו-ירושלים<->ת. מרכזית כרמיאל/הורדה-כרמיא,53,0,0%
10942,942,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת. מרכזית חדרה-חדר,39,0,0%
10992,992,אגד,ת.מרכזית עפולה/רציפים-עפולה<->ת. מרכזית אילת-אילת-2#,4,0,0%
10994,994,אגד,ת. מרכזית כרמיאל/רציפים-כרמיאל<->ת. מרכזית אילת-אילת-2#,4,0,0%
11458,458,קווים,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->שושנה דמארי/ע,21,0,0%
10424,424,אגד,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->ההגנה/מרגולין-רחובות,6,0,0%
10389,389,אגד,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->מלון יפה נוף-,11,0,0%
10393,393,אגד,ת. מרכזית רחובות/רציפים-רחובות<->ת. מרכזית אילת-אילת-15,73,0,0%
11334,334,גי.בי.טורס,אוניברסיטה/רב תכליתי-חיפה<->בי''ח סעודי הגליל-ריינה-2#,8,0,0%
15065,65,נסיעות ותיירות,דיר חנא מזרח-דייר חנא<->צומת עיאדאת/גריפאת-זרזיר-2#,80,0,0%
27013,13,מטרופולין,איזור התעשיה כפר סבא-כפר סבא<->קלנסווה/יציאה צפונית-קלנסווה-,301,0,0%
12167,167,אגד,מסוף רעננה/היהלום-רעננה<->צומת ניר צבי/דרך רון ארד-באר יעקב-,7,0,0%
12275,275,תנופה,ת. מרכזית נתניה/רציפים-נתניה<->מוריה/שד. ירושלים-אריאל-20,36,0,0%
13147,147,מטרופולין,מסוף רעננה/הפנינה-רעננה<->צומת גלילות/בסיס צבאי-רמת השרון-1#,28,0,0%
22020,20,מטרופולין,תחנה מרכזית כפ''ס/רציפים-כפר סבא<->תחנה מרכזית כפ''ס/ויצמן-כ,24,0,0%
11340,340,קווים,שד' בית שמאי/שערי תשובה-מודיעין עילית<->בנייני האומה/הנשיא ה,109,0,0%
11056,56,אגד,ת. רכבת כרמיאל/רציפים-כרמיאל<->ת. מרכזית טבריה/הורדה-טבריה-2,41,0,0%
10444,444,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת. מרכזית אילת-איל,140,0,0%
10261,261,אגד,תחנת רכבת חיפה מרכז השמונה-חיפה<->מתחם ביג כרמיאל-כרמיאל-10,34,0,0%
10790,790,אגד,ת. מרכזית אילת/רציפים-אילת<->ת.מרכזית תל אביב קומה 6/הורדה-ת,72,0,0%
10997,997,אגד,קופת חולים/העצמאות-קרית אתא<->מרכז תחבורתי הארזים/הורדה-ירוש,8,0,0%
10436,436,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת.מרכזית אשקלון/הו,34,0,0%
10439,439,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->חניון אגד-רחובות-3,144,0,0%
21093,93,נתיב אקספרס,ראמה ו/כניסה-ראמה<->בית ספר מאר אליאס-אעבלין-2א,8,0,0%
16098,98,נתיב אקספרס,בית ספר מאר אליאס-אעבלין<->חניון שפרעם/תאופיק זיאד-שפרעם-1#,6,0,0%
10487,487,אגד,קיבוץ עין גדי/חדר אוכל-עין גדי<->ת. מרכזית ירושלים/הורדה-ירו,6,0,0%
10821,821,אגד,מסוף רעננה/רציפים-רעננה<->ת.מרכזית עפולה/הורדה-עפולה-1#,85,0,0%
10825,825,אגד,ת.מרכזית עפולה/רציפים-עפולה<->ת.מרכזית תל אביב קומה 7/הורדה-,136,0,0%
10447,447,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת. מרכזית יבנה-יבנ,5,0,0%
10552,552,אגד,מלון יפה נוף-ערד<->שדרות הפלמח/חטיבת כרמלי-אשדוד-2#,104,0,0%
10797,797,נתיב אקספרס,עירייה/אל-מוטראן חג'אר-שפרעם<->צומת דולפין-חיפה-2#,10,0,0%
10952,952,אגד,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->מסוף מגדל העמק-מגדל ,5,0,0%
10970,970,אגד,תחנה תפעולית/נחל גיבורים-חיפה<->חזון אי''ש/האדמור מנדבורנא-ב,181,0,0%
10972,972,אגד,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->רופין/קניאל-חיפה-3#,155,0,0%
10973,973,אגד,תחנה תפעולית/נחל גיבורים-חיפה<->משה סנה/מנחם בגין-אשדוד-2#,22,0,0%
10998,998,אגד,קופת חולים/העצמאות-קרית אתא<->חזון אי''ש/האדמור מנדבורנא-בני,37,0,0%
10999,999,אגד,קופת חולים/העצמאות-קרית אתא<->מרכז תחבורתי הארזים/הורדה-ירוש,14,0,0%
10358,358,מטרופולין,מסוף השחר/הרב עובדיה יוסף-דימונה<->קניון איילון-בני ברק-2#,56,0,0%
11172,172,נתיב אקספרס,ת. מרכזית המפרץ/רציפים בינעירוני-חיפה<->חניון שפרעם/תאופיק ז,22,0,0%
11173,173,נתיב אקספרס,בית עלמין-אעבלין<->אוניברסיטה/רב תכליתי-חיפה-2#,14,0,0%
10255,255,נתיב אקספרס,בית מרקחת-כאבול<->ת. מרכזית המפרץ/הורדה-חיפה-2ז,40,0,0%
10221,221,אגד,ת. מרכזית חוף הכרמל/רציפים בינעירוני-חיפה<->ת. מרכזית חוף הכ,94,0,0%
10445,445,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת. מרכזית אילת-איל,18,0,0%
10403,403,אגד,ת. רכבת הראשונים-ראשון לציון<->ת. מרכזית ירושלים/הורדה-ירושל,23,0,0%
11784,784,אגד,טכניון/מעונות העמים-חיפה<->ת.מרכזית תל אביב קומה 7/הורדה-תל ,6,0,0%
10564,564,מטרופולין,בי''ח שיב''א/שדרות אהרון קציר-רמת גן<->תחנה מרכזית כפ''ס/הור,40,0,0%
10930,930,אגד,ת. מרכזית נתניה/רציפים-נתניה<->ת. מרכזית ירושלים/הורדה-ירושל,28,0,0%
10964,964,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->מסוף חצור הגלילית/,4,0,0%
10354,354,קווים,ת. מרכזית רמלה-רמלה<->מגדל ויטה/דרך בן גוריון-בני ברק-20,42,0,0%
10144,144,אגד,מחנה בן עמי-חבל מודיעין<->חניון אגד/דן שומרון-חולון-2#,6,0,0%
12157,157,קווים,אלמוג סנטר/אפרים קישון-באר יעקב<->ת.מרכזית תל אביב קומה 6/הו,45,0,0%
16058,58,נסיעות ותיירות,כיכר אל-קלעון-סח'נין<->תחנה מרכזית-נצרת-2א,216,0,0%
18030,30,נסיעות ותיירות,נשיאי ישראל/אורט בראודה-כרמיאל<->תחנה מרכזית-נצרת-2ב,190,0,0%
11431,431,נסיעות ותיירות,ת. מרכזית טבריה/רציפים-טבריה<->מסוף מגדל העמק-מגדל העמק-2א,157,0,0%
11296,296,נסיעות ותיירות,אלקודס/א שוק אל בלדי-טמרה<->כיכר אל-ג'ליל-סח'נין-2#,56,0,0%
13035,35,דן בדרום,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->מסוף מועצה אזורי,74,0,0%
19014,14,דן בדרום,מסוף מועצה אזורית אשכול/רציפים-אשכול<->צאלים/מרכז הקיבוץ-צאל,34,0,0%
11130,130,דן בדרום,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->בא''פ/מל''י-אשכו,96,0,0%
