מקט,קו,מפעילה,מסלול,נסיעות ביום,מהן נגישות,אחוז נגיש
11992,992,נתיב אקספרס,צומת מירון-מרום הגליל<->מרכז תחבורתי הארזים/הורדה-ירושלים-2ב,159,0,0%
12258,258,קווים,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות<->ת.מרכזית ב,4,0,0%
10977,977,נתיב אקספרס,צומת צפת/הגליל-צפת<->רופין/קניאל-חיפה-2#,24,0,0%
13159,159,קווים,מסוף אוניברסיטת ת''א -תל אביב יפו<->גולדה מאיר/משה שרת-רמלה-,24,0,0%
14978,978,נתיב אקספרס,מסוף אלוף שדה-רמת גן<->דרך אהרון/חווה חקלאית-זכרון יעקב-2ג,82,0,0%
10959,959,אגד,ת. מרכזית ירושלים/יפו-ירושלים<->ת. מרכזית טבריה/הורדה-טבריה-,53,0,0%
11191,191,תנופה,מסילת ישרים/מסוף-מודיעין עילית<->מרכז לגיל הרך/הרב א.גורדון-,32,0,0%
13242,242,סופרבוס,ת.מרכזית עפולה/רציפים-עפולה<->ת. רכבת כרמיאל-כרמיאל-10,41,0,0%
21075,75,סופרבוס,כיכר זביאדת-בסמת טבעון<->ת. מרכזית המפרץ/הורדה-חיפה-21,89,0,0%
12181,181,סופרבוס,דרך העמק / צומת יוקנעם-יקנעם עילית<->רכבל/העלייה השנייה-חיפה,29,0,0%
11184,184,סופרבוס,קופת חולים-גלעד<->ת. רכבת כפר יהושע/הורדה-כפר יהושע-20,26,0,0%
25027,27,סופרבוס,בית אורן/מרכז-בית אורן<->אוניברסיטה/רב תכליתי-חיפה-20,12,0,0%
14157,157,סופרבוס,הקידמה/העוצמה-יקנעם עילית<->ת. רכבת בנימינה-בנימינה גבעת עדה,33,0,0%
16050,50,סופרבוס,הקידמה/העוצמה-יקנעם עילית<->טכניון/בנין הספורט-חיפה-21,38,0,0%
11472,472,אלקטרה אפיקים,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->חבקוק/שדרות בן ,492,0,0%
12144,144,מטרופולין,כלא סהרונים-רמת הנגב<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,20,0,0%
10560,560,אגד,הרותם/החרצית-אשדוד<->מלון יפה נוף-ערד-1ע,254,0,0%
12245,245,קווים,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. מרכזית רמלה/,23,0,0%
13247,247,קווים,ת. מרכזית ראשל''צ/רציפים-ראשון לציון<->ת. מרכזית לוד/הורדה-ל,169,0,0%
10588,588,מטרופולין,ת. מרכזית ערד/רציפים-ערד<->מכללת ספיר-שער הנגב-2#,14,0,0%
22057,57,קווים,מכללת הרמלין/המחקר-נתניה<->ת. מרכזית חדרה/רציפים-חדרה-21,66,0,0%
26053,53,נתיב אקספרס,יאנוח ג'ת/מגרש כדורגל-יאנוח ג'ת<->ת. מרכזית נהריה/הורדה-נהרי,105,0,0%
12993,993,נתיב אקספרס,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->ת. מרכזית צפת/הורדה-,117,0,0%
10392,392,אגד,ת. מרכזית אילת/רציפים-אילת<->ת.מרכזית באר שבע/הורדה-באר שבע-,58,0,0%
26018,18,קווים,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות<->ת. מרכזית ,20,0,0%
10190,190,סופרבוס,האצטדיון/בהרב-חיפה<->ירדן/המיצר-יקנעם עילית-20,12,0,0%
10191,191,סופרבוס,אזור תעשיה רמת ישי-רמת ישי<->נופית/יציאה-נופית-20,3,0,0%
12248,248,סופרבוס,ת. מרכזית המפרץ/רציפים בינעירוני-חיפה<->ערערה/כניסה-ערערה-20,41,0,0%
11300,300,סופרבוס,ת.מרכזית עפולה/רציפים-עפולה<->ת. מרכזית המפרץ/הורדה-חיפה-20,25,0,0%
11247,247,סופרבוס,מובילנד/ברזילאי-עפולה<->מסוף אום אל פחם-אום אל פחם-20,36,0,0%
13246,246,סופרבוס,ת.מרכזית עפולה/שפרינצק-עפולה<->מסוף אום אל פחם-אום אל פחם-20,12,0,0%
11454,454,קווים,יהודה שטיין/שד. דוד רזיאל-רמלה<->ת. רכבת תל אביב - סבידור/דר,37,0,0%
10455,455,קווים,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. מרכזית רמלה/,11,0,0%
10457,457,קווים,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->אחימאיר/שרעבי-ר,29,0,0%
23036,36,נתיב אקספרס,מסוף שלומי-שלומי<->ת. מרכזית נהריה/הורדה-נהריה-2#,56,0,0%
15296,296,סופרבוס,מסוף אום אל פחם-אום אל פחם<->אוניברסיטה/רב תכליתי-חיפה-10,14,0,0%
11421,421,דרך אגד עוטף ירושלים,חזון איש/מסוף רמת שלמה-ירושלים<->אזור התעשייה-בני ברק-20,12,0,0%
11423,423,דרך אגד עוטף ירושלים,אזור התעשייה-בני ברק<->רקאנטי/המשורר אצ''ג-ירושלים-10,11,0,0%
10429,429,דרך אגד עוטף ירושלים,בי''ח הרצוג/גבעת שאול-ירושלים<->אזור התעשייה-בני ברק-20,6,0,0%
10428,428,דרך אגד עוטף ירושלים,דבורה הנביאה/ראול ולנברג-תל אביב יפו<->בי''ח הרצוג/גבעת שאול,6,0,0%
37029,29,קווים,ת. מרכזית רמלה-רמלה<->מסוף שוהם-שוהם-20,15,0,0%
11504,504,קווים,מסוף שוהם-שוהם<->מרכז מסחרי/שדרות המלאכות-מודיעין מכבים רעות,18,0,0%
23049,49,נתיב אקספרס,בית ספר ניסויי תפן-כפר ורדים<->ת. מרכזית נהריה/הורדה-נהריה-2,48,0,0%
23050,50,נתיב אקספרס,מאר אליאס/א רוסיה-פסוטה<->ת. מרכזית נהריה/הורדה-נהריה-21,89,0,0%
14248,248,מטרופולין,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->השומר/חטיבת יפת,24,0,0%
12349,349,מטרופולין,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->דרך הפרחים/הדס-,20,0,0%
26030,30,סופרבוס,פארק גורן-יבנאל<->ת.מרכזית עפולה/הורדה-עפולה-11,40,0,0%
10614,614,מטרופולין,בית העלמין/חזון אי''ש-בני ברק<->קמיל הויסמנס/בלפור-נתניה-2#,107,0,0%
16143,143,מועצה אזורית גולן,ת. מרכזית צפת/רציפים-צפת<->קניון לב קצרין-קצרין-20,37,0,0%
15142,142,מועצה אזורית גולן,שיאון/טיילת נווה-קצרין<->מרכז רפואי פורייה/מרפאות חוץ-בית חו,3,0,0%
12304,304,קווים,רוזנטל/כנפי נשרים-ירושלים<->שדרות בית שמאי/שדרות בית הלל-מוד,69,0,0%
17058,58,קווים,ת. מרכזית חדרה/רציפים-חדרה<->ת. מרכזית נתניה/הורדה-נתניה-10,1,0,0%
10708,708,קווים,ת. מרכזית נתניה/רציפים-נתניה<->הנדיב/המייסדים-זכרון יעקב-20,2,0,0%
10268,268,אגד,לבונה/דבורנית-בית אריה<->ת.מרכזית תל אביב קומה 7/הורדה-תל אב,30,0,0%
26029,29,קווים,דרך פיק''א/יהודה הלוי-פרדס חנה כרכור<->ת. מרכזית חדרה/רציפים,2,0,0%
46014,14,קווים,ת. רכבת בית יהושע-בית יהושע<->החלוצים/הפרדסים-צור משה-21,15,0,0%
10900,900,אגד,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->ת. רכבת חוף הכר,73,0,0%
10408,408,בית שמש אקספרס,בית ספר בית יעקב/דרך מנחם בגין-פתח תקווה<->שדרות האמוראים/רב,77,0,0%
10716,716,קווים,ת. מרכזית נתניה/רציפים-נתניה<->מסוף רכבת קיסריה פרדס חנה/הור,2,0,0%
11189,189,תנופה,קרית מדע ב'-ירושלים<->מרכז לגיל הרך/הרב א.גורדון-קרית יערים-,384,0,0%
13174,174,נתיב אקספרס,אחמד חוסין עלאם/אל בוסתאן-כפר מנדא<->אוניברסיטה/רב תכליתי-חי,6,0,0%
10411,411,בית שמש אקספרס,מסוף דרך חיים-בית שמש<->ת.מרכזית תל אביב קומה 6/הורדה-תל אבי,184,0,0%
10412,412,בית שמש אקספרס,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->שדרות האמוראי,320,0,0%
11115,115,תנופה,זכריה הנביא/נריה הנביא-בית שמש<->ממילא/קריב-ירושלים-10,18,0,0%
12107,107,קווים,מסוף אוניברסיטת ת''א -תל אביב יפו<->שדרות החשמונאים/לב העיר-,2,0,0%
12450,450,סופרבוס,ת. מרכזית טבריה/השילוח-טבריה<->ת. מרכזית צפת/הורדה-צפת-10,66,0,0%
11190,190,תנופה,מגדל קונקורד/דרך בן גוריון-בני ברק<->מרכז לגיל הרך/הרב א.גור,30,0,0%
10323,323,בית שמש אקספרס,שד. גת/המרגלית-קרית גת<->בן איש חי/קארו-בית שמש-20,34,0,0%
11424,424,תנופה,מרכז לגיל הרך/הרב א.גורדון-קרית יערים<->זכריה הנביא/שדרות הא,44,0,0%
18059,59,סופרבוס,ת. מרכזית טבריה/השילוח-טבריה<->מסוף חצור הגלילית/הורדה-חצור ,10,0,0%
13252,252,נתיב אקספרס,מסעף מוסד אחווה-עכו<->ת. מרכזית המפרץ/הורדה-חיפה-2#,16,0,0%
11849,849,סופרבוס,האתרוג/קרלין-גבעת זאב<->ת. מרכזית טבריה/הורדה-טבריה-20,6,0,0%
10969,969,סופרבוס,מסוף אלוף שדה-רמת גן<->ת. מרכזית טבריה/הורדה-טבריה-20,66,0,0%
12155,155,קווים,מחנה צריפין-ראשון לציון<->ת. רכבת תל אביב - סבידור/הורדה-תל ,16,0,0%
13150,150,אלקטרה אפיקים,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת. מרכזית אשדוד-א,350,0,0%
10581,581,קווים,רמת ויז'ניץ/ברכת משה-חיפה<->רמב''ן/שדרות בית שמאי-מודיעין עי,10,0,0%
13333,333,אלקטרה אפיקים,מסוף רדינג/רציפים-תל אביב יפו<->מסוף הריביירה-אשדוד-2#,30,0,0%
21049,49,אלקטרה אפיקים,ת. רכבת רחובות/רציפים בין עירוני-רחובות<->ת. מרכזית יבנה-יבנ,28,0,0%
12250,250,אלקטרה אפיקים,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->חבקוק/שדרות ב,42,0,0%
10852,852,אגד,מסוף רכבת קיסריה פרדס חנה/איסוף-פרדס חנה כרכור<->ת.מרכזית תל,165,0,0%
10921,921,אגד,ת. רכבת קרית אריה-פתח תקווה<->ת. רכבת חוף הכרמל-חיפה-1ה,133,0,0%
10341,341,קווים,שדרות בית שמאי/שדרות בית הלל-מודיעין עילית<->המ''ג/ירמיהו-יר,5,0,0%
11342,342,קווים,קרית נוער/הרב פרנק-ירושלים<->רמב''ן/שדרות בית שמאי-מודיעין ע,5,0,0%
10346,346,קווים,שדרות בית שמאי/שדרות בית הלל-מודיעין עילית<->קניון רמות/גולד,5,0,0%
11347,347,קווים,אגרות משה/חזון איש-ירושלים<->רמב''ן/שדרות בית שמאי-מודיעין ע,5,0,0%
10317,317,קווים,אגרות משה/חזון איש-ירושלים<->משך חוכמה ז-מודיעין עילית-20,5,0,0%
13334,334,קווים,חניון תח''צ/שדרות בית הלל-מודיעין עילית<->רוזנטל-ירושלים-10,5,0,0%
12311,311,קווים,המ''ג/ירמיהו-ירושלים<->משך חוכמה ז-מודיעין עילית-20,5,0,0%
11321,321,קווים,המ''ג/ירמיהו-ירושלים<->אור החיים ט-מודיעין עילית-20,5,0,0%
13331,331,קווים,חניון תח''צ/שדרות בית הלל-מודיעין עילית<->המ''ג/ירמיהו-ירושל,5,0,0%
10843,843,אגד,שיאון/טיילת נווה-קצרין<->ת.מרכזית תל אביב קומה 7/הורדה-תל אב,10,0,0%
11367,367,מטרופולין,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. מרכזית ראשל'',104,0,0%
10368,368,מטרופולין,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. מרכזית אשדוד-,80,0,0%
10570,570,מטרופולין,הנרקיס/הורדים-אלישמע<->מסוף רדינג/הורדה-תל אביב יפו-11,16,0,0%
10532,532,מטרופולין,מחנה גלילות/איסוף-חוף השרון<->ת.מרכזית תל אביב קומה 6/הורדה-,111,0,0%
10554,554,אגד,מלון יפה נוף-ערד<->מסוף הר נוף/כנפי נשרים-ירושלים-1ה,11,0,0%
10848,848,אגד,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->ת. מרכזית כרמיא,10,0,0%
10951,951,אגד,מסוף מגדל העמק/רציפים-מגדל העמק<->חזון אי''ש/האדמור מנדבורנא,6,0,0%
10834,834,אגד,צומת אשדות יעקב אחוד-עמק הירדן<->ת.מרכזית תל אביב קומה 7/הור,2,0,0%
10456,456,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->מחנה מצל''ח 6820-ב,2,0,0%
10966,966,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->קניון לב קצרין-קצר,53,0,0%
10703,703,אגד,הנשיא וייצמן/לבוצקין-חדרה<->ת.מרכזית תל אביב קומה 7/הורדה-תל,2,0,0%
31045,45,אלקטרה אפיקים,ת. מרכזית יבנה/רציפים-יבנה<->ת. מרכזית אשדוד-אשדוד-2#,32,0,0%
29050,50,אלקטרה אפיקים,ת. מרכזית רחובות/רציפים-רחובות<->ת. מרכזית יבנה-יבנה-2#,24,0,0%
13152,152,אלקטרה אפיקים,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת. מרכזית אשדוד-א,171,0,0%
15181,181,אלקטרה אפיקים,ת. מרכזית יבנה/רציפים-יבנה<->בנימין שמוטקין/טוליפמן-ראשון לצ,32,0,0%
13182,182,אלקטרה אפיקים,ת. מרכזית ראשל''צ/רציפים-ראשון לציון<->ת. רכבת יבנה מזרח-יבנ,48,0,0%
29051,51א,אלקטרה אפיקים,בית חולים קפלן/דרך פסטרנק-רחובות<->ת. מרכזית יבנה-יבנה-21,60,0,0%
15177,177,אלקטרה אפיקים,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת. רכבת יבנה ,40,0,0%
18349,349,אלקטרה אפיקים,אזור התעשייה-בני ברק<->רכבת/מסוף ביג הורדה-אשדוד-2#,166,0,0%
11213,213,אלקטרה אפיקים,ת. מרכזית יבנה/רציפים-יבנה<->ת. מרכזית אשדוד-אשדוד-2#,24,0,0%
12325,325,אלקטרה אפיקים,ת. מרכזית אשדוד/רציפים-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה,48,0,0%
16221,221,אלקטרה אפיקים,רכבת/מסוף ביג - רציפים-אשדוד<->ההגנה/מרגולין-רחובות-1#,25,0,0%
12317,317,אלקטרה אפיקים,מסוף משה ארנס/רציפים-פתח תקווה<->ת. מרכזית אשדוד-אשדוד-2#,40,0,0%
14455,455,אלקטרה אפיקים,הר''ן/פנים מאירים-ביתר עילית<->בני ברית/מורדי הגיטאות-אשדוד-,69,0,0%
27050,50,קווים,דרך המסילה/ששת הימים-בנימינה גבעת עדה<->בסיס גולני-מנשה-10,4,0,0%
13218,218א,ירושלים-רמאללה איחוד,מעבר קלנדיה-ירושלים<->מעבר קלנדיה/הורדה-ירושלים-32,140,0,0%
11588,588,קווים,מסוף מודיעין עילית-מודיעין עילית<->בית יוסף/הגבעה-תפרח-10,10,0,0%
10587,587,קווים,מסוף מודיעין עילית-מודיעין עילית<->שדרות הרצל-אופקים-10,12,0,0%
10585,585,קווים,חפץ חיים/מלון כפרי-נחל שורק<->רמב''ן/שדרות בית שמאי-מודיעין ,5,0,0%
23292,292,נתיב אקספרס,כיכר אל-קלעון-סח'נין<->מגרש כדורגל-מג'ד אל כרום-1#,72,0,0%
14444,444,מטרופולין,נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון<->מסוף רעננה/,117,0,0%
12323,323,דן בדרום,אחת עשרה נקודות/יצחק שמיר-נתיבות<->ת.מרכזית באר שבע/הורדה-בא,12,0,0%
14330,330,דן בדרום,מסוף פארק אופקים-אופקים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,107,0,0%
16332,332,דן בדרום,מסוף פארק אופקים-אופקים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,52,0,0%
47014,14א,נסיעות ותיירות,זרזיר/מסגד-זרזיר<->מועדון נוער-מנשית זבדה-23,305,0,0%
11833,833,נסיעות ותיירות,ת. רכבת תל אביב - סבידור/דרך נמיר-תל אביב יפו<->שדרות מעלה י,188,0,0%
20012,12,דן בדרום,דקל מרכז-דקל<->מסוף מועצה אזורית אשכול/רציפים-אשכול-22,35,0,0%
19013,13,דן בדרום,מסוף מועצה אזורית אשכול/רציפים-אשכול<->אוהד-אוהד-11,54,0,0%
18015,15,דן בדרום,מסוף מועצה אזורית אשכול/רציפים-אשכול<->כסופים-כיסופים-11,35,0,0%
15030,30,דן בדרום,בא''פ/מל''י-אשכול<->ת. רכבת אופקים/הורדה-אופקים-2#,24,0,0%
14047,47,דן בדרום,ת. רכבת להבים רהט-להבים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,81,0,0%
11363,363,דן בדרום,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת.מרכזית אשקלון/,118,0,0%
12361,361,דן בדרום,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת.מרכזית באר שבע/,30,0,0%
11442,442,דן בדרום,ת.רכבת נתיבות/רציפים-נתיבות<->קדושת לוי/אוהל שרה-ביתר עילית-,8,0,0%
15464,464,דן בדרום,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת.מרכזית אשקלון/,28,0,0%
12465,465,דן בדרום,מסוף פארק אופקים-אופקים<->מקיף א'/מורדי הגטאות-אשדוד-2#,40,0,0%
14298,298,מטרופולין,מכללת בית ברל-בית ברל<->מסוף אום אל פחם-אום אל פחם-11,24,0,0%
17113,113,מטרופולין,מרכז תרבות אלקאסמי-באקה אל ע'רביה<->תחנה מרכזית כפ''ס/הורדה-,132,0,0%
12145,145,מטרופולין,עבד אל כרים קאסם/אל ח'ליל-כפר קאסם<->מכללת בית ברל-בית ברל-2,132,0,0%
10351,351,אלקטרה אפיקים,דבורה הנביאה/ראול ולנברג-תל אביב יפו<->רכבת/מסוף ביג הורדה-א,100,0,0%
14036,36,דן בדרום,מסוף מועצה אזורית אשכול/רציפים-אשכול<->ת.מרכזית אשקלון/הורדה,46,0,0%
11325,325,דן בדרום,אחת עשרה נקודות/יצחק שמיר-נתיבות<->ת.מרכזית באר שבע/הורדה-בא,16,0,0%
44010,10,דן בדרום,מסוף מועצה אזורית אשכול/רציפים-אשכול<->בני נצרים-בני נצרים-1,27,0,0%
15136,136,דן בדרום,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->בני נצרים-בני נצר,10,0,0%
12240,240,דן בדרום,מרכז מסחרי/דרך מנחם בגין-שדרות<->פולק/טבת-קרית גת-11,31,0,0%
13250,250,דן בדרום,ת. מרכזית קרית גת/רציפים-קרית גת<->ת.מרכזית אשקלון/הורדה-אשק,159,0,0%
11252,252,דן בדרום,ת. מרכזית קרית גת/רציפים-קרית גת<->מסוף חופית/אריה תגר-אשקלו,73,0,0%
11445,445,דן בדרום,ת.רכבת נתיבות/רציפים-נתיבות<->מסוף הרכבת/הורדה-בית שמש-2#,8,0,0%
12123,123,מטרופולין,הכניסה הצפונית-קלנסווה<->מסוף רדינג/הורדה-תל אביב יפו-2#,132,0,0%
10252,252,אלקטרה אפיקים,התדהר/דפנה-רעננה<->ז'בוטינסקי / כרמל-ראש העין-20,36,0,0%
11473,473,אלקטרה אפיקים,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->חבקוק/שדרות בן ,18,0,0%
11800,800,אגד,ת. מרכזית ק''ש/רציפים-קרית שמונה<->ת.מרכזית תל אביב קומה 7/ה,3,0,0%
16151,151,קווים,חוף ראשון לציון-ראשון לציון<->שושנה דמארי/אהוד מנור-רמלה-20,49,0,0%
10548,548,אלקטרה אפיקים,בית ספר לבנות בית רבקה-כפר חב''ד<->שדרות ירושלים/ז'בוטינסקי-,78,0,0%
20103,103,מועצה אזורית גולן,שלמה בן יוסף/הרב עזיזי דיעי-חצור הגלילית<->קניון לב קצרין-קצ,16,0,0%
12292,292,קווים,קדושת לוי/הר''ן-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלים-,123,0,0%
12134,134,דן בדרום,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->הזית/החיטה-פטיש-,2,0,0%
18135,135,דן בדרום,בני נצרים-בני נצרים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,4,0,0%
11434,434,אגד,ת. מרכזית טבריה/רציפים-טבריה<->ת. מרכזית המפרץ/הורדה-חיפה-2#,55,0,0%
19978,978,אגד,זכריה הנביא/נריה הנביא-בית שמש<->הרצל/זבולון-חיפה-2#,22,0,0%
12989,989,אגד,קופת חולים/העצמאות-קרית אתא<->זכריה הנביא/שדרות האמוראים-בית,8,0,0%
12503,503,אגד,שיאון/טיילת נווה-קצרין<->ת. מרכזית המפרץ/הורדה-חיפה-2א,12,0,0%
10450,450,דן בדרום,מסוף הר חוצבים/המרפא-ירושלים<->שדרות הפלמח/חטיבת כרמלי-אשדוד,151,0,0%
17142,142,אלקטרה אפיקים,מסוף קסטינה-מלאכי/הורדה ואילת-באר טוביה<->ת. מרכזית אשדוד-אש,18,0,0%
10379,379,דן בדרום,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->מסוף מועצה אזור,23,0,0%
10276,276,מטרופולין,תחנת רכבת ראש העין צפון/רציפים-ראש העין<->מסוף/רבי יהודה הנש,132,0,0%
17464,464,אלקטרה אפיקים,זכריה הנביא/שדרות האמוראים-בית שמש<->בני ברית/מורדי הגיטאות-,20,0,0%
12474,474,אלקטרה אפיקים,זכריה הנביא/שדרות האמוראים-בית שמש<->בני ברית/מורדי הגיטאות-,84,0,0%
17151,151,נתיב אקספרס,ת.מרכזית עכו/דרך הארבעה-עכו<->אום אלשתוייה-אעבלין-12,36,0,0%
11377,377,מטרופולין,בן זכאי/גן אסתר-אלעד<->כפר שאול/קצנלבוגן-ירושלים-18,39,0,0%
11176,176,מטרופולין,'עמל א-ראש העין<->מסוף/רבי יהודה הנשיא-אלעד-20,14,0,0%
12180,180,מטרופולין,רבן יוחנן בן זכאי/רבי יהודה הנשיא-אלעד<->רבן יוחנן בן זכאי/ש,784,0,0%
11313,313,נתיב אקספרס,מסעף גוליס/מרכז מזון ירכא-ירכא<->בוקיעה אל ג'רביה ג-פקיעין-2,40,0,0%
11440,440,נסיעות ותיירות,ת. מרכזית צפת/רציפים-צפת<->עיריית נצרת-נצרת-2#,96,0,0%
13149,149,קווים,מעזריטש/ מהרי''ץ-ביתר עילית<->מגדל ויטה/דרך בן גוריון-בני בר,47,0,0%
13461,461,גלים,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->מסגד טאלב/קופת חו,4,0,0%
11280,280,מטרופולין,רבן יוחנן בן זכאי/רבי יהודה הנשיא-אלעד<->רבן יוחנן בן זכאי/ש,1182,0,0%
10277,277,מטרופולין,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->רבן יוחנן בן זכאי/שמ,517,0,0%
11379,379,מטרופולין,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->רבן יוחנן בן ,83,0,0%
19279,279,מטרופולין,האופן/החרש-פתח תקווה<->מסוף/רבי יהודה הנשיא-אלעד-20,311,0,0%
17180,180,נסיעות ותיירות,עין מאהל א'/כניסה-עין מאהל<->כיכר אל-ג'ליל-סח'נין-1#,8,0,0%
10590,590,מטרופולין,רבן יוחנן בן זכאי/רבי טרפון-אלעד<->ת. מרכזית צפת/הורדה-צפת-1,20,0,0%
12281,281,מטרופולין,רבן יוחנן בן זכאי/רבי טרפון-אלעד<->שדרות בית שמאי/שדרות בית ,137,0,0%
12253,253,אלקטרה אפיקים,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->מסוף כפר קאסם,78,0,0%
10595,595,מטרופולין,שדרות ירושלים/חנה סנש-קרית מלאכי<->רבן יוחנן בן זכאי/שמעיה-א,18,0,0%
10596,596,מטרופולין,ת.רכבת נתיבות/רציפים-נתיבות<->רבן יוחנן בן זכאי/שמעיה-אלעד-2,18,0,0%
12477,477,מטרופולין,מסוף רמת שרת/קדיש לוז-ירושלים<->רבן יוחנן בן זכאי/שמעיה-אלעד,18,0,0%
15173,173,מטרופולין,בי''ח שיב''א/שדרות אהרון קציר-רמת גן<->רבן יוחנן בן זכאי/שמע,77,0,0%
11251,251,מטרופולין,רכבת/מסוף ביג - רציפים-אשדוד<->רבן יוחנן בן זכאי/שמעיה-אלעד-,61,0,0%
10278,278,מטרופולין,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->רבן יוחנן בן זכ,78,0,0%
12270,270,מטרופולין,הרצוג/עובדיה מברטנורא-נתניה<->רבן יוחנן בן זכאי/שמעיה-אלעד-2,39,0,0%
15133,133,קווים,מסוף אום אל פחם-אום אל פחם<->ת.רכבת ספיר-נתניה-20,16,0,0%
17139,139,קווים,חט''ב א/עבד אל חי-טירה<->ת.רכבת ספיר-נתניה-21,77,0,0%
12850,850,סופרבוס,מסוף מודיעין עילית-מודיעין עילית<->ת. מרכזית טבריה/הורדה-טבר,10,0,0%
10851,851,סופרבוס,ת. מרכזית טבריה/השילוח-טבריה<->מרכז רפואי לניאדו/ילדים-נתניה,5,0,0%
10616,616,מטרופולין,ת. רכבת קרית אריה-פתח תקווה<->ת. רכבת נתניה-נתניה-21,40,0,0%
10615,615,מטרופולין,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. רכבת נתניה-נ,12,0,0%
11967,967,נתיב אקספרס,ת. מרכזית צפת/רציפים-צפת<->הר''ן/קדושת לוי-ביתר עילית-2#,28,0,0%
24028,28,סופרבוס,מסוף בית שאן/איסוף-בית שאן<->ת. מרכזית טבריה/הורדה-טבריה-20,98,0,0%
15258,258,אלקטרה אפיקים,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->בית העלמין-ראש העין-2,36,0,0%
27055,55,סופרבוס,סחנין עיריה-סח'נין<->ת. מרכזית טבריה/הורדה-טבריה-20,44,0,0%
12580,580,קווים,מושב מירון-מירון<->רמב''ן/שדרות בית שמאי-מודיעין עילית-21,15,0,0%
13407,407,סופרבוס,קריית החינוך-יקנעם עילית<->נופית/יציאה-נופית-10,37,0,0%
12773,773,סופרבוס,הגליל/הגולן-נופית<->ת. מרכזית המפרץ/הורדה-חיפה-20,24,0,0%
44023,23,קווים,מסוף שוהם-שוהם<->בית חולים שמואל הרופא-באר יעקב-20,55,0,0%
20333,333,דן בדרום,מסוף פארק אופקים-אופקים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,83,0,0%
12467,467,גלים,מכללה אקדמית אשקלון-אשקלון<->שכונה 18-רהט-20,30,0,0%
19142,142,מטרופולין,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->בא''ח 84 גבעתי-ר,88,0,0%
15213,213,מטרופולין,הכניסה הצפונית-קלנסווה<->השונית/יורדי ים-הרצליה-2#,87,0,0%
14124,124,מטרופולין,המוביל/טארק עבד אל חי-טירה<->ת. רכבת תל אביב - סבידור/הורדה-,117,0,0%
13151,151,אלקטרה אפיקים,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת. מרכזית אשדוד-א,16,0,0%
10506,506,קווים,האלה/האלון-כפר טרומן<->מסוף אוניברסיטת ת''א/הורדה-תל אביב יפ,55,0,0%
10807,807,אגד,מסוף רדינג/רציפים-תל אביב יפו<->קידמה/התמדה-חריש-2#,8,0,0%
